Category,Month,Value of Internet Payments Made,Number of Internet Payments Made,Value of IVR Payments Made,Number of IVR Payments Made,Value of Browser Payments Made,Number of Browser Payments Made
Blue Badge,Jun-18,,,,,9050,922
EAS,Jun-18,,,,,5161.59,4
Home Ownership,Jun-18,,,,,485.45,5
Registrars,Jun-18,,,,,69164,1611
Planning,Jun-18,44719.85,157,,,122953.53,402
Property Maintenance,Jun-18,,,,,,
Housing Repairs & Keys,Jun-18,,,,,1446.74,70
Electoral & Local Land Charges,Jun-18,,,,,,
Fleet Services,Jun-18,,,,,,
Museums,Jun-18,,,,,710,6
Parks and Countryside,Jun-18,,,,,635,2
Children's Services,Jun-18,,,,,,
Asset Regeneration,Jun-18,,,,,,
Housing Rent,Jun-18,716428.83,4884,525713.83,3517,791725.07,4854
Mortgages,Jun-18,381.39,3,125,1,,
Sundry Debtors,Jun-18,206068.17,798,247252.46,943,165117.93,633
Commercial/Market Rents,Jun-18,52320.38,75,108449.5,196,180.98,2
Council Tax,Jun-18,1074091.27,9912,998684.2,9128,326154.81,2317
Business Rates,Jun-18,38217.07,77,109340.75,156,158914.92,101
Housing Benefits Overpayments,Jun-18,18809.45,297,22382.48,505,23883.99,255
Parking Fines,Jun-18,124225,3553,121557.05,3510,8985,354
Leeds Card,Jul-18,,,,,,
Leodis,Jul-18,358.1,16,,,-20.17,2
Highways,Jul-18,,,,,31025.26,311
City & Environmental Services,Jul-18,36334.2,1334,,,40776.7,989
School Meals,Jul-18,7178.17,351,,,-190.6,16
Entertainment Licences,Jul-18,3142.5,98,,,17708,190
Nurseries,Jul-18,51921.01,295,,,,
Blue Badge,Jul-18,,,,,8395,859
EAS,Jul-18,,,,,,
Home Ownership,Jul-18,,,,,291.27,3
Registrars,Jul-18,,,,,64182,1622
Planning,Jul-18,45720.79,181,,,160215.09,501
Property Maintenance,Jul-18,,,,,2576.64,4
Housing Repairs & Keys,Jul-18,,,,,894.36,50
Electoral & Local Land Charges,Jul-18,,,,,30,1
Fleet Services,Jul-18,,,,,,
Museums,Jul-18,,,,,1890.75,11
Parks and Countryside,Jul-18,,,,,1330,5
Children's Services,Jul-18,,,,,,
Asset Regeneration,Jul-18,,,,,,
Housing Rent,Jul-18,776099.55,5255,570670.57,3750,775251.27,4837
Mortgages,Jul-18,236.39,2,125,1,,
Sundry Debtors,Jul-18,171374.91,545,226090.83,713,174856.88,590
Commercial/Market Rents,Jul-18,41931.31,71,124607.6,225,-207.08,1
Council Tax,Jul-18,1048400.92,9928,1106812.25,9331,277715.9,2472
Business Rates,Jul-18,74872.5,88,134078.57,164,102599.02,97
Housing Benefits Overpayments,Jul-18,14456.93,292,23711.82,465,25627.76,274
Parking Fines,Jul-18,144808,4127,142323,4077,9008,378
Leeds Card,Aug-18,,,,,,
Leodis,Aug-18,52.02,3,,,,
Highways,Aug-18,16,1,,,25122.62,295
City & Environmental Services,Aug-18,32994.6,1285,,,38027.2,928
School Meals,Aug-18,789,10,,,,
Entertainment Licences,Aug-18,6402.5,166,,,19852.5,144
Nurseries,Aug-18,49644.94,274,,,,
Blue Badge,Aug-18,,,,,8925,908
EAS,Aug-18,,,,,1779.14,2
Home Ownership,Aug-18,,,,,747.43,7
Registrars,Aug-18,,,,,56865,1604
Planning,Aug-18,34665.57,129,,,139953.2,367
Property Maintenance,Aug-18,,,,,800.76,2
Housing Repairs & Keys,Aug-18,,,,,1300.98,45
Electoral & Local Land Charges,Aug-18,,,,,0.8,1
Fleet Services,Aug-18,,,,,,
Museums,Aug-18,,,,,70,1
Parks and Countryside,Aug-18,,,,,1335,5
Children's Services,Aug-18,,,,,,
Asset Regeneration,Aug-18,,,,,,
Housing Rent,Aug-18,742542.11,5041,542012.96,3545,785361.53,4875
Mortgages,Aug-18,91.39,1,125,1,,
Sundry Debtors,Aug-18,157575.14,649,206219.34,795,159694.8,609
Commercial/Market Rents,Aug-18,35444.74,62,112086.74,203,,
Council Tax,Aug-18,1011123.55,9681,916796.88,8751,249988.96,2282
Business Rates,Aug-18,33005.92,62,95817.7,135,74900.09,75
Housing Benefits Overpayments,Aug-18,12141.99,281,26755.01,493,32718.49,245
Parking Fines,Aug-18,125109,3376,106924.27,2921,13569,416
Leeds Card,Sep-18,,,,,,
Leodis,Sep-18,232.58,13,,,,
Highways,Sep-18,,,,,27862.19,238
City & Environmental Services,Sep-18,30483.2,1110,,,38654.4,784
School Meals,Sep-18,55673.55,962,,,-117.6,9
Entertainment Licences,Sep-18,4891,159,,,14824,155
Nurseries,Sep-18,41394.74,252,,,,
Blue Badge,Sep-18,,,,,8200,836
EAS,Sep-18,,,,,2315.05,3
Home Ownership,Sep-18,,,,,388.36,4
Registrars,Sep-18,,,,,63598,1428
Planning,Sep-18,40080.33,128,,,107573.89,318
Property Maintenance,Sep-18,,,,,1091.1,2
Housing Repairs & Keys,Sep-18,,,,,968.22,48
Electoral & Local Land Charges,Sep-18,,,,,,
Fleet Services,Sep-18,,,,,,
Museums,Sep-18,,,,,1670,6
Parks and Countryside,Sep-18,,,,,70,1
Children's Services,Sep-18,,,,,,
Asset Regeneration,Sep-18,,,,,,
Housing Rent,Sep-18,776079.38,5099,565799.56,3614,759974.25,4491
Mortgages,Sep-18,506.39,4,,,,
Sundry Debtors,Sep-18,165574.65,685,206301.16,721,211202.03,543
Commercial/Market Rents,Sep-18,57444.44,183,139518.01,283,,
Council Tax,Sep-18,1012959.37,9518,909168.77,8569,217750.99,1933
Business Rates,Sep-18,27782.5,59,89577.87,116,77255.6,65
Housing Benefits Overpayments,Sep-18,13866.91,290,24093.16,453,30218.91,212
Parking Fines,Sep-18,138726,3911,112030.85,3094,11351.95,392
Leeds Card,Oct-18,,,,,,
Leodis,Oct-18,244.09,13,,,,
Highways,Oct-18,,,,,32074.11,291
City & Environmental Services,Oct-18,26859,1048,,,36107.4,858
School Meals,Oct-18,17385.45,558,,,,
Entertainment Licences,Oct-18,19804.5,253,,,47374,315
Nurseries,Oct-18,49107.48,306,,,,
Blue Badge,Oct-18,,,,,8365,848
EAS,Oct-18,,,,,4437.16,5
Home Ownership,Oct-18,,,,,912.32,8
Registrars,Oct-18,,,,,72312,1693
Planning,Oct-18,33012.99,116,,,105481.6,337
Property Maintenance,Oct-18,,,,,120,1
Housing Repairs & Keys,Oct-18,,,,,1111.88,59
Electoral & Local Land Charges,Oct-18,,,,,,
Fleet Services,Oct-18,,,,,,
Museums,Oct-18,,,,,1932,17
Parks and Countryside,Oct-18,,,,,,
Children's Services,Oct-18,,,,,,
Asset Regeneration,Oct-18,,,,,60,3
Housing Rent,Oct-18,777358.1,5172,579424.71,3817,858344.27,5087
Mortgages,Oct-18,185.94,2,125,1,,
Sundry Debtors,Oct-18,236840.65,922,298242.25,975,230363.2,708
Commercial/Market Rents,Oct-18,45754.51,215,144394.4,389,-4356,1
Council Tax,Oct-18,1030474.21,9594,994320.02,9149,245035.6,2156
Business Rates,Oct-18,35615.39,65,115240.4,157,93717.99,88
Housing Benefits Overpayments,Oct-18,17548.68,302,28674.87,501,39507.15,230
Parking Fines,Oct-18,149619,4223,123771.5,3481,13930,496
Leeds Card,Nov-18,,,,,,
Leodis,Nov-18,410.64,18,,,,
Highways,Nov-18,,,,,24306.11,279
City & Environmental Services,Nov-18,22637.4,949,,,28474.85,678
School Meals,Nov-18,36580.2,857,,,-48,1
Entertainment Licences,Nov-18,23399,333,,,42445.5,315
Nurseries,Nov-18,44146.9,293,,,,
Blue Badge,Nov-18,,,,,7720,791
EAS,Nov-18,,,,,7853.46,8
Home Ownership,Nov-18,,,,,684.24,6
Registrars,Nov-18,,,,,75016,1381
Planning,Nov-18,27408.76,107,,,66880.52,250
Property Maintenance,Nov-18,,,,,,
Housing Repairs & Keys,Nov-18,,,,,752.13,50
Electoral & Local Land Charges,Nov-18,,,,,,
Fleet Services,Nov-18,,,,,,
Museums,Nov-18,,,,,1573.5,72
Parks and Countryside,Nov-18,,,,,,
Children's Services,Nov-18,,,,,,
Asset Regeneration,Nov-18,,,,,300,11
Housing Rent,Nov-18,740973.46,5016,555869.75,3681,807723.03,4895
Mortgages,Nov-18,91.39,1,125,1,,
Sundry Debtors,Nov-18,188341.71,929,200762.46,812,161257.85,517
Commercial/Market Rents,Nov-18,33044.06,83,136161.4,267,,
Council Tax,Nov-18,1036272.01,9568,953088.44,8695,247081.73,2093
Business Rates,Nov-18,35987.5,65,87717.18,125,80196.75,75
Housing Benefits Overpayments,Nov-18,13964.03,288,32238.63,489,20667.09,260
Parking Fines,Nov-18,148770,4192,118353,3336,14512.5,490
Leeds Card,Dec-18,,,,,,
Leodis,Dec-18,206.56,13,,,-14,1
Highways,Dec-18,,,,,14345.58,181
City & Environmental Services,Dec-18,15887.8,638,,,12946.2,373
School Meals,Dec-18,12118.95,419,,,,
Entertainment Licences,Dec-18,9825,170,,,18913,152
Nurseries,Dec-18,42086.61,261,,,,
Blue Badge,Dec-18,,,,,6125,627
EAS,Dec-18,,,,,5491.4,3
Home Ownership,Dec-18,,,,,228.08,2
Registrars,Dec-18,,,,,47058,891
Planning,Dec-18,20954,60,,,41784.09,152
Property Maintenance,Dec-18,,,,,,
Housing Repairs & Keys,Dec-18,,,,,526.39,42
Electoral & Local Land Charges,Dec-18,,,,,,
Fleet Services,Dec-18,,,,,,
Museums,Dec-18,,,,,810,88
Parks and Countryside,Dec-18,,,,,,
Children's Services,Dec-18,,,,,,
Asset Regeneration,Dec-18,,,,,180,8
Housing Rent,Dec-18,733632.35,4859,538692.13,3453,671203.34,3849
Mortgages,Dec-18,91.39,1,125,1,,
Sundry Debtors,Dec-18,204024.76,568,274519.22,715,154838.11,407
Commercial/Market Rents,Dec-18,32971.54,63,139610.47,245,,
Council Tax,Dec-18,984864.22,9103,813290.92,7725,195973.97,1587
Business Rates,Dec-18,59891.4,58,78223.96,114,46149.45,53
Housing Benefits Overpayments,Dec-18,21621.24,250,18499.77,418,18814.15,166
Parking Fines,Dec-18,134062,3754,102052.66,2871,11887,316
Leeds Card,Jan-19,,,,,,
Leodis,Jan-19,385.64,17,,,,
Highways,Jan-19,,,,,19189.43,236
City & Environmental Services,Jan-19,25958.8,1053,,,40189.05,644
School Meals,Jan-19,33419.55,744,,,,
Entertainment Licences,Jan-19,14700,187,,,38888.5,301
Nurseries,Jan-19,62028.14,349,,,,
Blue Badge,Jan-19,,,,,7505,767
EAS,Jan-19,,,,,8356.39,5
Home Ownership,Jan-19,,,,,519.35,7
Registrars,Jan-19,,,,,81450,1715
Planning,Jan-19,31422.32,124,,,85272.26,259
Property Maintenance,Jan-19,,,,,4800.9,2
Housing Repairs & Keys,Jan-19,,,,,1370.89,72
Electoral & Local Land Charges,Jan-19,,,,,,
Fleet Services,Jan-19,,,,,,
Museums,Jan-19,,,,,,
Parks and Countryside,Jan-19,,,,,,
Children's Services,Jan-19,,,,,,
Asset Regeneration,Jan-19,,,,,,
Leedswatch,Jan-19,,,,,218,3
Housing Rent,Jan-19,852874.09,5441,637771.43,3812,1019490.36,5337
Mortgages,Jan-19,91.39,1,250,2,,
Sundry Debtors,Jan-19,154560.02,562,205946.7,744,172970.34,582
Commercial/Market Rents,Jan-19,39346.47,76,153942.28,236,,
Council Tax,Jan-19,1165301.61,9787,1044307.76,8894,367352.55,2894
Business Rates,Jan-19,37898.22,65,129833.06,133,88711.12,93
Housing Benefits Overpayments,Jan-19,23268.09,305,26551.27,494,58460.69,264
Parking Fines,Jan-19,141561,3723,111128.4,2960,14623,457
Leeds Card,Feb-19,,,,,,
Leodis,Feb-19,632.27,24,,,-11,1
Highways,Feb-19,,,,,14948.41,222
City & Environmental Services,Feb-19,21335.4,954,,,16356.7,528
School Meals,Feb-19,10246.25,292,,,,
Entertainment Licences,Feb-19,11760,164,,,15049,162
Nurseries,Feb-19,47592.48,293,,,,
Blue Badge,Feb-19,,,,,7655,783
EAS,Feb-19,,,,,4610.72,7
Home Ownership,Feb-19,,,,,781.33,7
Registrars,Feb-19,,,,,75893.5,1508
Planning,Feb-19,23587.16,109,,,90336.73,285
Property Maintenance,Feb-19,,,,,346.32,1
Housing Repairs & Keys,Feb-19,,,,,1314.99,72
Electoral & Local Land Charges,Feb-19,,,,,,
Fleet Services,Feb-19,,,,,,
Museums,Feb-19,,,,,536,5
Parks and Countryside,Feb-19,,,,,201,2
Children's Services,Feb-19,,,,,,
Asset Regeneration,Feb-19,,,,,,
Leedswatch,Feb-19,,,,,,
Housing Rent,Feb-19,708238.68,4854,512563.03,3318,878270.54,4893
Mortgages,Feb-19,91.39,1,,,,
Sundry Debtors,Feb-19,178172.75,604,176765.64,699,161366.6,520
Commercial/Market Rents,Feb-19,29553.12,56,118863.58,208,,
Council Tax,Feb-19,815043.17,6804,677528.92,5970,285311.96,2280
Business Rates,Feb-19,36818.64,37,78953.52,91,94423.21,72
Housing Benefits Overpayments,Feb-19,16063.98,267,24306.37,447,32914.27,213
Parking Fines,Feb-19,125266,3519,92443.01,2595,8521,334
Leeds Card,Mar-19,,,,,,
Leodis,Mar-19,257.09,9,,,,
Highways,Mar-19,16,1,,,32079.16,261
City & Environmental Services,Mar-19,26223.4,1074,,,18418.2,548
School Meals,Mar-19,22950.05,633,,,,
Entertainment Licences,Mar-19,7188.5,159,,,12683.5,117
Nurseries,Mar-19,57796.34,356,,,,
Blue Badge,Mar-19,,,,,6170,629
EAS,Mar-19,,,,,10033.47,2
Home Ownership,Mar-19,,,,,1237.49,11
Registrars,Mar-19,,,,,73860,1437
Planning,Mar-19,31820.59,108,,,90312.5,291
Property Maintenance,Mar-19,,,,,,
Housing Repairs & Keys,Mar-19,,,,,1105.35,58
Electoral & Local Land Charges,Mar-19,,,,,16,1
Fleet Services,Mar-19,,,,,,
Museums,Mar-19,,,,,723,3
Parks and Countryside,Mar-19,,,,,205,2
Children's Services,Mar-19,,,,,,
Asset Regeneration,Mar-19,,,,,,
Leedswatch,Mar-19,,,,,,
Housing Rent,Mar-19,842238.57,5478,589176.86,3665,1006050.57,5691
Mortgages,Mar-19,91.39,1,2048.02,1,,
Sundry Debtors,Mar-19,236237.5,982,250038.88,909,195893.97,562
Commercial/Market Rents,Mar-19,43593.83,75,123852.7,218,-2248.81,1
Council Tax,Mar-19,744279.36,6125,677218.38,5650,300715.48,2403
Business Rates,Mar-19,25301.02,48,92702.93,106,102613.98,92
Housing Benefits Overpayments,Mar-19,11701.08,274,25374.51,503,21443.03,238
Parking Fines,Mar-19,140511,3853,106298.35,2900,11296,324
