Category,Month,Value of Internet Payments Made,Number of Internet Payments Made,Value of IVR Payments Made,Number of IVR Payments Made,Value of Browser Payments Made,Number of Browser Payments Made
Leeds Card,Apr-18,,,,,,
Leodis,Apr-18,257.08,12,,,,
Highways,Apr-18,,,,,"31,839.00",280
City & Environmental Services,Apr-18,"17,102.23",837,,,"32,002.20",707
School Meals,Apr-18,"27,366.43",707,,,,
Entertainment Licences,Apr-18,"4,932.00",91,,,"14,139.50",152
Nurseries,Apr-18,"57,842.68",290,,,,
Blue Badge,Apr-18,,,,,"7,085.00",723
EAS,Apr-18,,,,,"5,427.77",3
Home Ownership,Apr-18,,,,,130.99,1
Registrars,Apr-18,,,,,"62,422.00","1,398"
Planning,Apr-18,31629.1,125,,,"210,920.81",434
Property Maintenance,Apr-18,,,,,973.5,2
Housing Repairs & Keys,Apr-18,,,,,934.79,54
Electoral & Local Land Charges,Apr-18,,,,,40,2
Fleet Services,Apr-18,,,,,,
Museums,Apr-18,,,,,"1,280.00",7
Parks and Countryside,Apr-18,,,,,392.5,4
Children's Services,Apr-18,,,,,,
Asset Regeneration,Apr-18,,,,,,
Housing Rent,Apr-18,"741,230.07","5,012","521,114.08","3,483","830,526.19","5,030"
Mortgages,Apr-18,236.39,2,125,1,,
Sundry Debtors,Apr-18,"160,601.87",607,"213,238.67",726,"134,382.83",467
Commercial/Market Rents,Apr-18,"48,488.05",64,"129,899.92",249,-481.92,2
Council Tax,Apr-18,"1,294,633.55","10,176","1,231,686.80","9,222","316,298.67","2,493"
Business Rates,Apr-18,"35,871.92",66,"87,148.25",141,"54,833.98",76
Housing Benefits Overpayments,Apr-18,"15,671.21",308,"21,743.28",474,"27,385.44",265
Parking Fines,Apr-18,"123,982.00","3,293","109,439.45","2,996","10,904.00",369
Leeds Card,May-18,,,,,,
Leodis,May-18,213.04,13,,,-17,1
Highways,May-18,,,,,25896.44,279
City & Environmental Services,May-18,28380.2,1198,,,33742.8,886
School Meals,May-18,17723.19,577,,,-25.85,1
Entertainment Licences,May-18,7181.5,94,,,14215.5,142
Nurseries,May-18,63337.61,341,,,,
Blue Badge,May-18,,,,,7295,734
EAS,May-18,,,,,595.4,1
Home Ownership,May-18,,,,,747.43,7
Registrars,May-18,,,,,68507.6,1481
Planning,May-18,34772.68,153,,,132420.76,421
Property Maintenance,May-18,,,,,2028.24,3
Housing Repairs & Keys,May-18,,,,,1165.26,62
Electoral & Local Land Charges,May-18,,,,,115,5
Fleet Services,May-18,,,,,,
Museums,May-18,,,,,1625,11
Parks and Countryside,May-18,,,,,865.9,7
Children's Services,May-18,,,,,,
Asset Regeneration,May-18,,,,,,
Housing Rent,May-18,711251.53,4907,532168.03,3546,780916.44,4845
Mortgages,May-18,91.39,1,123,1,,
Sundry Debtors,May-18,157714.28,632,164922.73,668,155562.57,516
Commercial/Market Rents,May-18,38276.64,81,158429.74,237,675.5,2
Council Tax,May-18,1174049.29,10456,1168889.6,10004,309727.61,2305
Business Rates,May-18,59940.25,75,102566.81,146,79584.93,82
Housing Benefits Overpayments,May-18,14208.1,277,34252.19,536,32837.69,232
Parking Fines,May-18,138432,3785,111563.58,3131,5030,655
Leeds Card,Jun-18,,,,,,
Leodis,Jun-18,568.77,15,,,,
Highways,Jun-18,32,2,,,23322.38,260
City & Environmental Services,Jun-18,26751.8,1129,,,41620,1020
School Meals,Jun-18,28088.97,735,,,,
Entertainment Licences,Jun-18,4105,82,,,13664.5,152
Nurseries,Jun-18,49042.4,293,,,,
